"BAZ-0697",="2023-08-04 09:10:19","Employee","CH-1","YES"
"BAZ-0697",="2023-08-04 09:10:15","Employee","CH-2","YES"
"ATL-6867",="2023-08-04 08:40:36","Employee","CH-1","YES"
"ATL-6867",="2023-08-04 08:31:33","Employee","CH-1","YES"
"ATL-6867",="2023-08-04 08:31:21","Employee","CH-2","YES"
"APN-7596",="2023-08-04 08:10:42","Employee","CH-1","YES"
"APN-7596",="2023-08-04 08:10:39","Employee","CH-2","YES"
"3139-WE",="2023-08-04 08:04:07","Employee","CH-1","YES"
"3139-WE",="2023-08-04 08:03:55","Employee","CH-2","YES"
"BFM-1090",="2023-08-04 07:50:31","Employee","CH-1","YES"
"BFM-1090",="2023-08-04 07:50:30","Employee","CH-2","YES"
"ANY-3599",="2023-08-04 07:33:41","Employee","CH-1","YES"
"ANY-3599",="2023-08-04 07:33:08","Employee","CH-2","YES"
"AKK-6720",="2023-08-04 06:51:43","Employee","CH-1","YES"
"AKK-6720",="2023-08-04 06:51:08","Employee","CH-2","YES"
"ARE-1316",="2023-08-04 06:20:17","Employee","CH-1","YES"
"ARE-1316",="2023-08-04 06:19:43","Employee","CH-2","YES"
"AKK-8125",="2023-08-04 02:05:13","Employee","CH-2","YES"
"AKK-8125",="2023-08-04 02:05:09","Employee","CH-1","YES"
"ATL-6867",="2023-08-03 21:38:16","Employee","CH-2","YES"
"ATL-6867",="2023-08-03 21:37:24","Employee","CH-2","YES"
"ATL-6867",="2023-08-03 21:37:11","Employee","CH-1","YES"
"3139-WE",="2023-08-03 21:26:35","Employee","CH-1","YES"
"3139-WE",="2023-08-03 21:26:09","Employee","CH-2","YES"
"3139-WE",="2023-08-03 21:25:55","Employee","CH-1","YES"
"AKK-6720",="2023-08-03 20:51:43","Employee","CH-1","YES"
"AKK-6720",="2023-08-03 20:51:31","Employee","CH-2","YES"
"AKK-6720",="2023-08-03 20:48:11","Employee","CH-1","YES"
"AKK-6720",="2023-08-03 20:48:07","Employee","CH-1","YES"
"AKK-6720",="2023-08-03 20:47:35","Employee","CH-2","YES"
"RS-8478",="2023-08-03 19:39:13","Employee","CH-2","YES"
"RS-8478",="2023-08-03 19:39:08","Employee","CH-2","YES"
"RS-8478",="2023-08-03 19:38:41","Employee","CH-1","YES"
"ATL-6867",="2023-08-03 18:49:37","Employee","CH-1","YES"
"ATL-6867",="2023-08-03 18:49:32","Employee","CH-2","YES"
"RS-8478",="2023-08-03 17:52:25","Employee","CH-1","YES"
"RS-8478",="2023-08-03 17:52:03","Employee","CH-2","YES"
"AKK-8125",="2023-08-03 17:28:42","Employee","CH-1","YES"
"AKK-8125",="2023-08-03 17:28:42","Employee","CH-2","YES"
"3139-WE",="2023-08-03 16:31:09","Employee","CH-1","YES"
"3139-WE",="2023-08-03 16:30:57","Employee","CH-1","YES"
"3139-WE",="2023-08-03 16:30:42","Employee","CH-2","YES"
"BFM-1090",="2023-08-03 15:19:56","Employee","CH-2","YES"
"BFM-1090",="2023-08-03 15:19:41","Employee","CH-2","YES"
"BFM-1090",="2023-08-03 15:19:14","Employee","CH-1","YES"
"BFM-1090",="2023-08-03 13:11:15","Employee","CH-1","YES"
"BFM-1090",="2023-08-03 13:11:02","Employee","CH-2","YES"
"BKL-2019",="2023-08-03 12:40:16","Employee","CH-2","YES"
"BKL-2019",="2023-08-03 12:37:33","Employee","CH-2","YES"
"BKL-2019",="2023-08-03 12:37:25","Employee","CH-1","YES"
"0685-GZ",="2023-08-03 11:49:46","Employee","CH-1","YES"
"0685-GZ",="2023-08-03 11:49:43","Employee","CH-2","YES"
"BKL-2019",="2023-08-03 11:33:22","Employee","CH-1","YES"
"BKL-2019",="2023-08-03 11:33:15","Employee","CH-2","YES"
"BBA-1339",="2023-08-03 11:10:20","Employee","CH-2","YES"
"BBA-1339",="2023-08-03 11:09:20","Employee","CH-2","YES"
"BBA-1339",="2023-08-03 11:09:16","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:34","Employee","CH-2","YES"
"AWY-7383",="2023-08-03 10:57:25","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:22","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:16","Employee","CH-2","YES"
"AWY-7383",="2023-08-03 10:57:14","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:10","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:06","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:57:01","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:56:56","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:14:03","Employee","CH-1","YES"
"AWY-7383",="2023-08-03 10:13:59","Employee","CH-2","YES"
"BBA-1339",="2023-08-03 10:13:23","Employee","CH-1","YES"
"BBA-1339",="2023-08-03 10:13:16","Employee","CH-2","YES"
"BPM-3215",="2023-08-03 10:04:30","Employee","CH-1","YES"
"BPM-3215",="2023-08-03 10:03:59","Employee","CH-2","YES"
"1803-H9",="2023-08-03 08:01:42","Employee","CH-1","YES"
"1803-H9",="2023-08-03 08:01:31","Employee","CH-2","YES"
"AAD-7379",="2023-08-02 22:49:40","Employee","CH-2","YES"
"AAD-7379",="2023-08-02 22:49:34","Employee","CH-1","YES"
"AAD-7379",="2023-08-02 22:25:02","Employee","CH-2","YES"
"AAD-7379",="2023-08-02 22:25:02","Employee","CH-1","YES"
"AKK-8125",="2023-08-02 22:21:30","Employee","CH-2","YES"
"AKK-8125",="2023-08-02 22:21:19","Employee","CH-1","YES"
"ARE-1316",="2023-08-02 21:47:14","Employee","CH-2","YES"
"ARE-1316",="2023-08-02 21:47:02","Employee","CH-1","YES"
"ATK-1232",="2023-08-02 20:36:58","Employee","CH-2","YES"
"ATK-1232",="2023-08-02 20:36:54","Employee","CH-1","YES"
"BBM-9626",="2023-08-02 20:29:40","Employee","CH-2","YES"
"BBM-9626",="2023-08-02 20:29:39","Employee","CH-1","YES"
"ATL-6867",="2023-08-02 20:02:10","Employee","CH-2","YES"
"ATL-6867",="2023-08-02 20:01:41","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 19:11:39","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 19:11:20","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 19:10:27","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 19:10:19","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 19:09:19","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 19:09:15","Employee","CH-1","YES"
"3139-WE",="2023-08-02 19:08:52","Employee","CH-2","YES"
"3139-WE",="2023-08-02 19:08:41","Employee","CH-1","YES"
"ANY-3599",="2023-08-02 17:40:15","Employee","CH-1","YES"
"ANY-3599",="2023-08-02 17:40:14","Employee","CH-2","YES"
"ANY-3599",="2023-08-02 17:39:13","Employee","CH-2","YES"
"ANY-3599",="2023-08-02 17:39:08","Employee","CH-1","YES"
"APN-7596",="2023-08-02 17:33:20","Employee","CH-1","YES"
"APN-7596",="2023-08-02 17:33:13","Employee","CH-2","YES"
"BJW-9155",="2023-08-02 17:26:03","Employee","CH-2","YES"
"BJW-9155",="2023-08-02 17:25:55","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 17:12:32","Employee","CH-2","YES"
"AKK-6720",="2023-08-02 16:55:49","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 16:55:43","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 16:55:13","Employee","CH-2","YES"
"BPM-3215",="2023-08-02 16:49:41","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 16:49:20","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 16:49:20","Employee","CH-2","YES"
"BPM-3215",="2023-08-02 16:49:03","Employee","CH-2","YES"
"BPM-3215",="2023-08-02 16:47:58","Employee","CH-2","YES"
"BPM-3215",="2023-08-02 16:46:20","Employee","CH-2","YES"
"BPM-3215",="2023-08-02 16:46:17","Employee","CH-1","YES"
"BBM-9626",="2023-08-02 16:03:08","Employee","CH-1","YES"
"BBM-9626",="2023-08-02 16:02:45","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 15:20:01","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 15:19:37","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 15:19:33","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 14:32:13","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 14:32:09","Employee","CH-2","YES"
"BJW-9155",="2023-08-02 13:45:22","Employee","CH-1","YES"
"BJW-9155",="2023-08-02 13:45:14","Employee","CH-1","YES"
"BJW-9155",="2023-08-02 13:44:49","Employee","CH-2","YES"
"ATK-1232",="2023-08-02 13:38:24","Employee","CH-1","YES"
"ATK-1232",="2023-08-02 13:37:55","Employee","CH-2","YES"
"BAZ-0697",="2023-08-02 13:30:57","Employee","CH-2","YES"
"BAZ-0697",="2023-08-02 13:30:49","Employee","CH-1","YES"
"BPM-3215",="2023-08-02 13:02:18","Employee","CH-1","YES"
"BPM-3215",="2023-08-02 13:02:15","Employee","CH-2","YES"
"ATL-6867",="2023-08-02 12:28:15","Employee","CH-1","YES"
"ATL-6867",="2023-08-02 12:28:14","Employee","CH-2","YES"
"AKK-6720",="2023-08-02 11:49:51","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 11:49:00","Employee","CH-2","YES"
"AKK-6720",="2023-08-02 11:48:50","Employee","CH-1","YES"
"ANY-3599",="2023-08-02 09:53:34","Employee","CH-1","YES"
"ANY-3599",="2023-08-02 09:53:29","Employee","CH-2","YES"
"ATL-6867",="2023-08-02 08:56:48","Employee","CH-1","YES"
"ATL-6867",="2023-08-02 08:37:17","Employee","CH-1","YES"
"ATL-6867",="2023-08-02 08:36:59","Employee","CH-2","YES"
"3139-WE",="2023-08-02 08:31:46","Employee","CH-1","YES"
"3139-WE",="2023-08-02 08:31:18","Employee","CH-2","YES"
"BAZ-0697",="2023-08-02 08:17:30","Employee","CH-1","YES"
"BAZ-0697",="2023-08-02 08:17:00","Employee","CH-2","YES"
"APN-7596",="2023-08-02 08:12:05","Employee","CH-1","YES"
"APN-7596",="2023-08-02 08:11:54","Employee","CH-2","YES"
"AKK-6720",="2023-08-02 06:49:46","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 06:49:15","Employee","CH-1","YES"
"AKK-6720",="2023-08-02 06:49:12","Employee","CH-2","YES"
"ARE-1316",="2023-08-02 06:26:45","Employee","CH-1","YES"
"ARE-1316",="2023-08-02 06:26:39","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 06:00:52","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 05:28:00","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 05:27:36","Employee","CH-2","YES"
"BBE-2770",="2023-08-02 05:26:39","Employee","CH-1","YES"
"BBE-2770",="2023-08-02 05:26:35","Employee","CH-2","YES"
"0685-GZ",="2023-08-01 21:39:46","Employee","CH-2","YES"
"0685-GZ",="2023-08-01 21:39:18","Employee","CH-1","YES"
"BBE-2770",="2023-08-01 21:28:58","Employee","CH-1","YES"
"BBE-2770",="2023-08-01 21:28:23","Employee","CH-2","YES"
"BBE-2770",="2023-08-01 21:27:56","Employee","CH-1","YES"
"ARE-1316",="2023-08-01 21:22:05","Employee","CH-1","YES"
"ARE-1316",="2023-08-01 21:21:49","Employee","CH-2","YES"
"ARE-1316",="2023-08-01 21:20:50","Employee","CH-2","YES"
"ARE-1316",="2023-08-01 21:20:47","Employee","CH-1","YES"
"BBE-2770",="2023-08-01 20:12:03","Employee","CH-1","YES"
"BBE-2770",="2023-08-01 20:11:36","Employee","CH-2","YES"
"ATK-1232",="2023-08-01 19:56:21","Employee","CH-2","YES"
"ATK-1232",="2023-08-01 19:55:53","Employee","CH-1","YES"
"3139-WE",="2023-08-01 18:52:29","Employee","CH-2","YES"
"3139-WE",="2023-08-01 18:52:26","Employee","CH-1","YES"
"ANY-3599",="2023-08-01 18:12:45","Employee","CH-2","YES"
"ANY-3599",="2023-08-01 18:12:39","Employee","CH-1","YES"
"BFM-1090",="2023-08-01 18:02:06","Employee","CH-1","YES"
"BFM-1090",="2023-08-01 18:01:32","Employee","CH-2","YES"
"BFM-1090",="2023-08-01 18:01:29","Employee","CH-1","YES"
"BKL-2019",="2023-08-01 16:54:53","Employee","CH-2","YES"
"BKL-2019",="2023-08-01 16:54:44","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 16:04:55","Employee","CH-1","YES"
"AKK-8125",="2023-08-01 16:04:52","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 16:04:20","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 16:04:07","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 16:01:45","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 16:01:45","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:59:55","Employee","CH-2","YES"
"BJW-9155",="2023-08-01 15:59:05","Employee","CH-2","YES"
"BJW-9155",="2023-08-01 15:58:49","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:58:41","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:58:03","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:57:29","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:57:27","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:53:37","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:53:22","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:45:23","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:45:20","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:27:01","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:26:59","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:25:35","Employee","CH-1","YES"
"BQQ-3057",="2023-08-01 15:24:44","Employee","CH-2","YES"
"BQQ-3057",="2023-08-01 15:24:34","Employee","CH-1","YES"
"BJW-9155",="2023-08-01 15:16:45","Employee","CH-1","YES"
"BJW-9155",="2023-08-01 15:16:23","Employee","CH-2","YES"
"BJW-9155",="2023-08-01 15:16:11","Employee","CH-1","YES"
"BJW-9155",="2023-08-01 15:15:22","Employee","CH-2","YES"
"AWY-7383",="2023-08-01 15:03:06","Employee","CH-2","YES"
"AWY-7383",="2023-08-01 15:02:59","Employee","CH-1","YES"
"BKL-2019",="2023-08-01 14:25:52","Employee","CH-1","YES"
"BKL-2019",="2023-08-01 14:25:36","Employee","CH-2","YES"
"0685-GZ",="2023-08-01 14:13:03","Employee","CH-1","YES"
"0685-GZ",="2023-08-01 14:12:48","Employee","CH-2","YES"
"AWY-7383",="2023-08-01 13:40:14","Employee","CH-1","YES"
"AWY-7383",="2023-08-01 13:39:51","Employee","CH-2","YES"
"AWY-7383",="2023-08-01 13:38:56","Employee","CH-1","YES"
"AWY-7383",="2023-08-01 13:38:51","Employee","CH-2","YES"
"BBM-9626",="2023-08-01 11:02:46","Employee","CH-2","YES"
"BBM-9626",="2023-08-01 11:02:39","Employee","CH-1","YES"
"RS-8478",="2023-08-01 09:39:52","Employee","CH-2","YES"
"RS-8478",="2023-08-01 09:39:46","Employee","CH-1","YES"
"ATK-1232",="2023-08-01 09:07:13","Employee","CH-1","YES"
"ATK-1232",="2023-08-01 09:07:11","Employee","CH-2","YES"
"ATK-1232",="2023-08-01 09:06:04","Employee","CH-2","YES"
"ATK-1232",="2023-08-01 09:05:58","Employee","CH-1","YES"
"ATK-1232",="2023-08-01 09:05:54","Employee","CH-2","YES"
"BBM-9626",="2023-08-01 09:03:58","Employee","CH-1","YES"
"BBM-9626",="2023-08-01 09:03:49","Employee","CH-2","YES"
"ANY-3599",="2023-08-01 09:00:19","Employee","CH-1","YES"
"ANY-3599",="2023-08-01 09:00:09","Employee","CH-2","YES"
"ATL-6867",="2023-08-01 08:49:15","Employee","CH-2","YES"
"ATL-6867",="2023-08-01 08:49:05","Employee","CH-1","YES"
"ATL-6867",="2023-08-01 08:28:45","Employee","CH-1","YES"
"ATL-6867",="2023-08-01 08:28:29","Employee","CH-2","YES"
"3139-WE",="2023-08-01 08:20:30","Employee","CH-1","YES"
"3139-WE",="2023-08-01 08:20:00","Employee","CH-1","YES"
"3139-WE",="2023-08-01 08:19:48","Employee","CH-2","YES"
"BFM-1090",="2023-08-01 07:56:21","Employee","CH-1","YES"
"BFM-1090",="2023-08-01 07:55:40","Employee","CH-2","YES"
"ARE-1316",="2023-08-01 06:36:40","Employee","CH-1","YES"
"ARE-1316",="2023-08-01 06:36:30","Employee","CH-2","YES"
"AKK-8125",="2023-08-01 02:04:37","Employee","CH-2","YES"
"AKK-8125",="2023-08-01 02:04:30","Employee","CH-1","YES"
"AAD-7379",="2023-07-31 23:36:31","Employee","CH-1","YES"
"AAD-7379",="2023-07-31 23:35:39","Employee","CH-2","YES"
"AAD-7379",="2023-07-31 23:35:30","Employee","CH-1","YES"
"AAD-7379",="2023-07-31 23:05:49","Employee","CH-1","YES"
"ARE-1316",="2023-07-31 21:19:06","Employee","CH-2","YES"
"ARE-1316",="2023-07-31 21:18:56","Employee","CH-1","YES"
"3139-WE",="2023-07-31 21:09:07","Employee","CH-2","YES"
"3139-WE",="2023-07-31 21:08:58","Employee","CH-1","YES"
"BBE-2770",="2023-07-31 19:55:26","Employee","CH-2","YES"
"BBE-2770",="2023-07-31 19:55:09","Employee","CH-1","YES"
"AKK-8125",="2023-07-31 17:13:15","Employee","CH-1","YES"
"AKK-8125",="2023-07-31 17:12:43","Employee","CH-2","YES"
"BJW-9155",="2023-07-31 16:05:12","Employee","CH-2","YES"
"BJW-9155",="2023-07-31 16:05:02","Employee","CH-1","YES"
"BBM-9626",="2023-07-31 15:11:21","Employee","CH-2","YES"
"BBM-9626",="2023-07-31 15:11:12","Employee","CH-1","YES"
"ANY-3599",="2023-07-31 11:33:42","Employee","CH-2","YES"
"ANY-3599",="2023-07-31 11:33:37","Employee","CH-1","YES"
"BAZ-0697",="2023-07-31 11:21:53","Employee","CH-2","YES"
"BAZ-0697",="2023-07-31 11:21:21","Employee","CH-1","YES"
"BBE-2770",="2023-07-31 11:11:44","Employee","CH-1","YES"
"BBE-2770",="2023-07-31 11:11:39","Employee","CH-2","YES"
"BJW-9155",="2023-07-31 10:36:32","Employee","CH-1","YES"
"BJW-9155",="2023-07-31 10:36:19","Employee","CH-2","YES"
"BJW-9155",="2023-07-31 10:35:34","Employee","CH-1","YES"
"BJW-9155",="2023-07-31 10:35:16","Employee","CH-2","YES"
"BAZ-0697",="2023-07-31 09:42:19","Employee","CH-2","YES"
"BAZ-0697",="2023-07-31 09:42:16","Employee","CH-1","YES"
"BAZ-0697",="2023-07-31 09:41:18","Employee","CH-2","YES"
"BAZ-0697",="2023-07-31 09:40:25","Employee","CH-1","YES"
"BAZ-0697",="2023-07-31 09:40:18","Employee","CH-2","YES"
